season,position,constructorRef,constructor_name,points,snapshot_round,snapshot_date
2025,1,mclaren,McLaren,833,24,2025-12-07
2025,2,mercedes,Mercedes,469,24,2025-12-07
2025,3,red_bull,Red Bull,451,24,2025-12-07
2025,4,ferrari,Ferrari,398,24,2025-12-07
2025,5,williams,Williams,137,24,2025-12-07
2025,6,rb,Racing Bulls,92,24,2025-12-07
2025,7,aston_martin,Aston Martin,89,24,2025-12-07
2025,8,haas,Haas F1 Team,79,24,2025-12-07
2025,9,sauber,Kick Sauber,70,24,2025-12-07
2025,10,alpine,Alpine,22,24,2025-12-07
