season,round,race_name,driverRef,driver_name,constructorRef
2026,1,Australian Grand Prix,russell,George Russell,mercedes
2026,2,Chinese Grand Prix,antonelli,Kimi Antonelli,mercedes
2026,3,Japanese Grand Prix,antonelli,Kimi Antonelli,mercedes
2026,4,Miami Grand Prix,antonelli,Kimi Antonelli,mercedes
2026,5,Canadian Grand Prix,antonelli,Kimi Antonelli,mercedes
2026,6,Monaco Grand Prix,antonelli,Kimi Antonelli,mercedes
2026,7,Barcelona-Catalunya Grand Prix,hamilton,Lewis Hamilton,ferrari
2026,8,Austrian Grand Prix,russell,George Russell,mercedes
2026,9,British Grand Prix,leclerc,Charles Leclerc,ferrari
2026,10,Belgian Grand Prix,antonelli,Kimi Antonelli,mercedes
2026,11,Hungarian Grand Prix,norris,Lando Norris,mclaren
2026,12,Dutch Grand Prix,norris,Lando Norris,mclaren
2026,13,Italian Grand Prix,antonelli,Kimi Antonelli,mercedes
